station,day,tmax,tmin
Tampere Siilinkari,2024-01-01,-16.5,-23.8
Tampere Siilinkari,2024-01-02,-21.8,-26.6
Tampere Siilinkari,2024-01-03,-21.3,-25.6
Tampere Siilinkari,2024-01-04,-22.1,-25.5
Tampere Siilinkari,2024-01-05,-19.8,-26.6
Tampere Siilinkari,2024-01-06,-19.9,-23.4
Tampere Siilinkari,2024-01-07,-15.8,-26.1
Tampere Siilinkari,2024-01-08,-2.4,-16.0
Tampere Siilinkari,2024-01-09,3.0,-6.5
Tampere Siilinkari,2024-01-10,3.5,-2.8
Tampere Siilinkari,2024-01-11,3.7,-12.6
Tampere Siilinkari,2024-01-12,-6.6,-19.6
Tampere Siilinkari,2024-01-13,-5.4,-24.0
Tampere Siilinkari,2024-01-14,-5.3,-7.2
Tampere Siilinkari,2024-01-15,-6.9,-22.1
Tampere Siilinkari,2024-01-16,-14.1,-21.9
Tampere Siilinkari,2024-01-17,-8.9,-25.8
Tampere Siilinkari,2024-01-18,-6.6,-9.0
Tampere Siilinkari,2024-01-19,-6.6,-18.5
Tampere Siilinkari,2024-01-20,-8.9,-19.4
Tampere Siilinkari,2024-01-21,1.3,-10.8
Tampere Siilinkari,2024-01-22,1.6,-0.1
Tampere Siilinkari,2024-01-23,3.8,1.4
Tampere Siilinkari,2024-01-24,2.1,-1.6
Tampere Siilinkari,2024-01-25,-0.6,-7.7
Tampere Siilinkari,2024-01-26,-7.2,-14.5
Tampere Siilinkari,2024-01-27,-1.9,-9.6
Tampere Siilinkari,2024-01-28,2.1,-1.9
Tampere Siilinkari,2024-01-29,4.1,1.4
Tampere Siilinkari,2024-01-30,1.6,-2.5
Tampere Siilinkari,2024-01-31,1.7,-1.1
Rantasalmi Rukkasluoto,2024-01-01,-13.4,-25.0
Rantasalmi Rukkasluoto,2024-01-02,-20.9,-28.8
Rantasalmi Rukkasluoto,2024-01-03,-21.0,-27.7
Rantasalmi Rukkasluoto,2024-01-04,-27.0,-30.2
Rantasalmi Rukkasluoto,2024-01-05,-25.6,-31.1
Rantasalmi Rukkasluoto,2024-01-06,-20.8,-25.6
Rantasalmi Rukkasluoto,2024-01-07,-12.9,-26.3
Rantasalmi Rukkasluoto,2024-01-08,-3.4,-12.9
Rantasalmi Rukkasluoto,2024-01-09,2.3,-4.4
Rantasalmi Rukkasluoto,2024-01-10,2.0,-4.5
Rantasalmi Rukkasluoto,2024-01-11,2.1,-12.7
Rantasalmi Rukkasluoto,2024-01-12,-12.5,-18.5
Rantasalmi Rukkasluoto,2024-01-13,-8.1,-20.5
Rantasalmi Rukkasluoto,2024-01-14,-7.9,-9.7
Rantasalmi Rukkasluoto,2024-01-15,-9.7,-16.1
Rantasalmi Rukkasluoto,2024-01-16,-14.3,-23.9
Rantasalmi Rukkasluoto,2024-01-17,-17.9,-29.2
Rantasalmi Rukkasluoto,2024-01-18,-8.4,-20.4
Rantasalmi Rukkasluoto,2024-01-19,-6.6,-17.3
Rantasalmi Rukkasluoto,2024-01-20,-16.6,-25.7
Rantasalmi Rukkasluoto,2024-01-21,-5.4,-26.2
Rantasalmi Rukkasluoto,2024-01-22,-1.2,-5.4
Rantasalmi Rukkasluoto,2024-01-23,3.0,-2.0
Rantasalmi Rukkasluoto,2024-01-24,2.1,-0.1
Rantasalmi Rukkasluoto,2024-01-25,0.1,-8.3
Rantasalmi Rukkasluoto,2024-01-26,-8.1,-16.6
Rantasalmi Rukkasluoto,2024-01-27,-4.0,-15.0
Rantasalmi Rukkasluoto,2024-01-28,0.0,-4.0
Rantasalmi Rukkasluoto,2024-01-29,3.8,0.0
Rantasalmi Rukkasluoto,2024-01-30,2.3,-5.2
Rantasalmi Rukkasluoto,2024-01-31,0.7,-7.0
Hailuoto Keskikylä,2024-01-01,-15.4,-28.8
Hailuoto Keskikylä,2024-01-02,-27.7,-31.4
Hailuoto Keskikylä,2024-01-03,-22.3,-31.2
Hailuoto Keskikylä,2024-01-04,-29.6,-32.4
Hailuoto Keskikylä,2024-01-05,-23.4,-32.8
Hailuoto Keskikylä,2024-01-06,-24.2,-29.9
Hailuoto Keskikylä,2024-01-07,-9.2,-24.2
Hailuoto Keskikylä,2024-01-08,-1.4,-10.3
Hailuoto Keskikylä,2024-01-09,3.8,-1.9
Hailuoto Keskikylä,2024-01-10,3.3,-3.3
Hailuoto Keskikylä,2024-01-11,0.9,-15.4
Hailuoto Keskikylä,2024-01-12,-7.6,-23.7
Hailuoto Keskikylä,2024-01-13,-6.8,-23.4
Hailuoto Keskikylä,2024-01-14,-10.9,-17.8
Hailuoto Keskikylä,2024-01-15,-16.9,-23.3
Hailuoto Keskikylä,2024-01-16,-15.8,-27.9
Hailuoto Keskikylä,2024-01-17,-22.8,-31.8
Hailuoto Keskikylä,2024-01-18,-13.4,-24.9
Hailuoto Keskikylä,2024-01-19,-13.0,-15.9
Hailuoto Keskikylä,2024-01-20,-15.6,-26.8
Hailuoto Keskikylä,2024-01-21,-3.0,-24.0
Hailuoto Keskikylä,2024-01-22,0.6,-3.0
Hailuoto Keskikylä,2024-01-23,1.9,-1.0
Hailuoto Keskikylä,2024-01-24,-0.9,-10.3
Hailuoto Keskikylä,2024-01-25,-5.8,-18.0
Hailuoto Keskikylä,2024-01-26,-7.6,-19.7
Hailuoto Keskikylä,2024-01-27,-0.8,-7.9
Hailuoto Keskikylä,2024-01-28,1.9,-1.1
Hailuoto Keskikylä,2024-01-29,3.7,1.4
Hailuoto Keskikylä,2024-01-30,2.6,-0.6
Hailuoto Keskikylä,2024-01-31,0.8,-1.9
Jomala Maarianhamina lentoasema,2024-01-01,-5.0,-11.0
Jomala Maarianhamina lentoasema,2024-01-02,-7.5,-8.6
Jomala Maarianhamina lentoasema,2024-01-03,-8.3,-9.5
Jomala Maarianhamina lentoasema,2024-01-04,-9.3,-13.7
Jomala Maarianhamina lentoasema,2024-01-05,-11.8,-17.4
Jomala Maarianhamina lentoasema,2024-01-06,-11.8,-21.5
Jomala Maarianhamina lentoasema,2024-01-07,-10.7,-20.9
Jomala Maarianhamina lentoasema,2024-01-08,-1.0,-19.3
Jomala Maarianhamina lentoasema,2024-01-09,4.9,-1.8
Jomala Maarianhamina lentoasema,2024-01-10,4.9,1.8
Jomala Maarianhamina lentoasema,2024-01-11,5.3,-4.9
Jomala Maarianhamina lentoasema,2024-01-12,4.0,-6.7
Jomala Maarianhamina lentoasema,2024-01-13,1.0,-4.1
Jomala Maarianhamina lentoasema,2024-01-14,0.7,-3.5
Jomala Maarianhamina lentoasema,2024-01-15,-3.5,-9.3
Jomala Maarianhamina lentoasema,2024-01-16,-6.1,-13.4
Jomala Maarianhamina lentoasema,2024-01-17,1.4,-8.7
Jomala Maarianhamina lentoasema,2024-01-18,0.6,-6.3
Jomala Maarianhamina lentoasema,2024-01-19,-2.6,-9.1
Jomala Maarianhamina lentoasema,2024-01-20,-5.9,-17.4
Jomala Maarianhamina lentoasema,2024-01-21,2.2,-16.5
Jomala Maarianhamina lentoasema,2024-01-22,3.5,0.5
Jomala Maarianhamina lentoasema,2024-01-23,5.2,2.2
Jomala Maarianhamina lentoasema,2024-01-24,2.7,-0.7
Jomala Maarianhamina lentoasema,2024-01-25,0.9,-2.1
Jomala Maarianhamina lentoasema,2024-01-26,0.8,-9.0
Jomala Maarianhamina lentoasema,2024-01-27,1.2,-0.6
Jomala Maarianhamina lentoasema,2024-01-28,3.5,0.5
Jomala Maarianhamina lentoasema,2024-01-29,4.0,1.5
Jomala Maarianhamina lentoasema,2024-01-30,2.1,-3.2
Jomala Maarianhamina lentoasema,2024-01-31,2.3,0.8
Helsinki Kaisaniemi,2024-01-01,-13.7,-17.4
Helsinki Kaisaniemi,2024-01-02,-14.2,-19.0
Helsinki Kaisaniemi,2024-01-03,-14.8,-19.4
Helsinki Kaisaniemi,2024-01-04,-15.4,-18.9
Helsinki Kaisaniemi,2024-01-05,-15.2,-17.2
Helsinki Kaisaniemi,2024-01-06,-13.2,-16.7
Helsinki Kaisaniemi,2024-01-07,-16.5,-21.2
Helsinki Kaisaniemi,2024-01-08,-2.9,-19.8
Helsinki Kaisaniemi,2024-01-09,2.5,-4.0
Helsinki Kaisaniemi,2024-01-10,2.4,-0.2
Helsinki Kaisaniemi,2024-01-11,2.4,-9.2
Helsinki Kaisaniemi,2024-01-12,-3.7,-11.5
Helsinki Kaisaniemi,2024-01-13,-5.4,-16.6
Helsinki Kaisaniemi,2024-01-14,-4.7,-6.5
Helsinki Kaisaniemi,2024-01-15,-5.1,-12.2
Helsinki Kaisaniemi,2024-01-16,-12.1,-18.0
Helsinki Kaisaniemi,2024-01-17,-2.5,-20.3
Helsinki Kaisaniemi,2024-01-18,-2.2,-5.9
Helsinki Kaisaniemi,2024-01-19,-3.0,-12.9
Helsinki Kaisaniemi,2024-01-20,-9.7,-18.5
Helsinki Kaisaniemi,2024-01-21,-0.1,-19.2
Helsinki Kaisaniemi,2024-01-22,1.7,-0.6
Helsinki Kaisaniemi,2024-01-23,3.6,1.7
Helsinki Kaisaniemi,2024-01-24,2.4,0.1
Helsinki Kaisaniemi,2024-01-25,0.9,-2.7
Helsinki Kaisaniemi,2024-01-26,-2.7,-7.8
Helsinki Kaisaniemi,2024-01-27,-0.9,-3.9
Helsinki Kaisaniemi,2024-01-28,2.7,-1.0
Helsinki Kaisaniemi,2024-01-29,3.6,1.6
Helsinki Kaisaniemi,2024-01-30,2.5,-1.4
Helsinki Kaisaniemi,2024-01-31,1.9,-0.3
Salla kirkonkylä,2024-01-01,-27.1,-33.7
Salla kirkonkylä,2024-01-02,-26.2,-35.1
Salla kirkonkylä,2024-01-03,-21.6,-35.1
Salla kirkonkylä,2024-01-04,-17.4,-26.0
Salla kirkonkylä,2024-01-05,-23.9,-28.2
Salla kirkonkylä,2024-01-06,-18.7,-32.5
Salla kirkonkylä,2024-01-07,-10.4,-22.3
Salla kirkonkylä,2024-01-08,-9.1,-20.2
Salla kirkonkylä,2024-01-09,-6.6,-19.3
Salla kirkonkylä,2024-01-10,-0.7,-15.7
Salla kirkonkylä,2024-01-11,-9.3,-20.7
Salla kirkonkylä,2024-01-12,-17.5,-31.2
Salla kirkonkylä,2024-01-13,-13.8,-28.4
Salla kirkonkylä,2024-01-14,-21.4,-29.9
Salla kirkonkylä,2024-01-15,-16.0,-24.7
Salla kirkonkylä,2024-01-16,-15.7,-17.3
Salla kirkonkylä,2024-01-17,-15.7,-23.3
Salla kirkonkylä,2024-01-18,-23.3,-32.3
Salla kirkonkylä,2024-01-19,-12.8,-25.5
Salla kirkonkylä,2024-01-20,-20.2,-29.7
Salla kirkonkylä,2024-01-21,-9.5,-27.5
Salla kirkonkylä,2024-01-22,-1.7,-9.5
Salla kirkonkylä,2024-01-23,0.0,-3.7
Salla kirkonkylä,2024-01-24,-1.2,-17.1
Salla kirkonkylä,2024-01-25,-17.2,-25.8
Salla kirkonkylä,2024-01-26,-6.9,-26.4
Salla kirkonkylä,2024-01-27,-3.0,-8.5
Salla kirkonkylä,2024-01-28,-0.3,-3.4
Salla kirkonkylä,2024-01-29,2.1,-0.7
Salla kirkonkylä,2024-01-30,1.8,-1.0
Salla kirkonkylä,2024-01-31,1.0,-3.1
Vaasa Klemettilä,2024-01-01,-14.8,-22.7
Vaasa Klemettilä,2024-01-02,-22.4,-26.9
Vaasa Klemettilä,2024-01-03,-24.0,-26.8
Vaasa Klemettilä,2024-01-04,-24.8,-28.5
Vaasa Klemettilä,2024-01-05,-25.6,-29.1
Vaasa Klemettilä,2024-01-06,-23.9,-28.5
Vaasa Klemettilä,2024-01-07,-4.5,-27.0
Vaasa Klemettilä,2024-01-08,-1.4,-5.4
Vaasa Klemettilä,2024-01-09,4.9,-1.4
Vaasa Klemettilä,2024-01-10,4.4,1.4
Vaasa Klemettilä,2024-01-11,4.4,-10.5
Vaasa Klemettilä,2024-01-12,1.9,-12.0
Vaasa Klemettilä,2024-01-13,-1.3,-12.9
Vaasa Klemettilä,2024-01-14,-2.5,-9.8
Vaasa Klemettilä,2024-01-15,-8.5,-11.9
Vaasa Klemettilä,2024-01-16,-11.8,-22.0
Vaasa Klemettilä,2024-01-17,-7.2,-23.0
Vaasa Klemettilä,2024-01-18,-6.8,-11.6
Vaasa Klemettilä,2024-01-19,-11.3,-18.6
Vaasa Klemettilä,2024-01-20,-11.8,-23.3
Vaasa Klemettilä,2024-01-21,0.8,-11.8
Vaasa Klemettilä,2024-01-22,1.5,-0.3
Vaasa Klemettilä,2024-01-23,3.5,1.1
Vaasa Klemettilä,2024-01-24,1.2,-5.5
Vaasa Klemettilä,2024-01-25,-2.8,-7.2
Vaasa Klemettilä,2024-01-26,-4.9,-13.1
Vaasa Klemettilä,2024-01-27,-0.6,-5.2
Vaasa Klemettilä,2024-01-28,2.6,-1.3
Vaasa Klemettilä,2024-01-29,5.1,2.2
Vaasa Klemettilä,2024-01-30,4.7,-1.7
Vaasa Klemettilä,2024-01-31,0.9,-1.9
Kittilä Pakatti,2024-01-01,-14.3,-27.2
Kittilä Pakatti,2024-01-02,-22.1,-33.8
Kittilä Pakatti,2024-01-03,-24.5,-32.9
Kittilä Pakatti,2024-01-04,-25.3,-31.7
Kittilä Pakatti,2024-01-05,-26.7,-32.5
Kittilä Pakatti,2024-01-06,-20.4,-29.6
Kittilä Pakatti,2024-01-07,-13.8,-24.6
Kittilä Pakatti,2024-01-08,-3.2,-15.7
Kittilä Pakatti,2024-01-09,1.8,-7.6
Kittilä Pakatti,2024-01-10,1.4,-9.2
Kittilä Pakatti,2024-01-11,-5.1,-17.1
Kittilä Pakatti,2024-01-12,-11.5,-25.0
Kittilä Pakatti,2024-01-13,-12.7,-18.4
Kittilä Pakatti,2024-01-14,-11.9,-25.4
Kittilä Pakatti,2024-01-15,-17.4,-25.7
Kittilä Pakatti,2024-01-16,-17.3,-25.4
Kittilä Pakatti,2024-01-17,-16.4,-21.2
Kittilä Pakatti,2024-01-18,-18.8,-32.2
Kittilä Pakatti,2024-01-19,-16.8,-23.0
Kittilä Pakatti,2024-01-20,-15.5,-29.1
Kittilä Pakatti,2024-01-21,-17.0,-29.0
Kittilä Pakatti,2024-01-22,-1.7,-17.1
Kittilä Pakatti,2024-01-23,-2.1,-5.8
Kittilä Pakatti,2024-01-24,-4.4,-23.1
Kittilä Pakatti,2024-01-25,-23.1,-28.6
Kittilä Pakatti,2024-01-26,-12.2,-27.3
Kittilä Pakatti,2024-01-27,-1.9,-13.4
Kittilä Pakatti,2024-01-28,1.0,-2.4
Kittilä Pakatti,2024-01-29,2.7,-1.3
Kittilä Pakatti,2024-01-30,3.3,-3.4
Kittilä Pakatti,2024-01-31,2.7,-2.1
Lieksa Lampela,2024-01-01,-12.5,-32.1
Lieksa Lampela,2024-01-02,-19.7,-33.7
Lieksa Lampela,2024-01-03,-19.6,-34.0
Lieksa Lampela,2024-01-04,-33.1,-36.6
Lieksa Lampela,2024-01-05,-32.8,-37.1
Lieksa Lampela,2024-01-06,-27.8,-35.0
