Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2023,2,1,00:00,UTC,-,-,-6,-,-3,-12.1
2023,2,2,00:00,UTC,-,-,-4.9,-,-3.2,-7.4
2023,2,3,00:00,UTC,-,-,-11.6,-,-4.6,-15.8
2023,2,4,00:00,UTC,-,-,-14.8,-,-8.6,-22.8
2023,2,5,00:00,UTC,-,-,-5.9,-,-3.8,-8.6
2023,2,6,00:00,UTC,-,-,-6.8,-,-2.1,-13.6
2023,2,7,00:00,UTC,-,-,0.8,-,3.2,-2.2
2023,2,8,00:00,UTC,-,-,-1.2,-,0.7,-6.4
2023,2,9,00:00,UTC,-,-,2.5,-,3.8,0
2023,2,10,00:00,UTC,-,-,-0.9,-,2.2,-2.9
2023,2,11,00:00,UTC,-,-,-5.3,-,-1.9,-10.2
2023,2,12,00:00,UTC,-,-,-1.4,-,3.7,-8.8
2023,2,13,00:00,UTC,-,-,2.2,-,4,0.7
2023,2,14,00:00,UTC,-,-,-1.1,-,2.2,-4.4
2023,2,15,00:00,UTC,-,-,-3.4,-,-0.7,-6.4
2023,2,16,00:00,UTC,-,-,-0.4,-,0.7,-3.8
2023,2,17,00:00,UTC,-,-,1,-,1.7,-0.5
2023,2,18,00:00,UTC,-,-,-2,-,1.2,-4.2
2023,2,19,00:00,UTC,-,-,-4.7,-,-3.6,-5.3
2023,2,20,00:00,UTC,-,-,-7.2,-,-5.2,-7.5
2023,2,21,00:00,UTC,-,-,-13.4,-,-7.4,-16.3
2023,2,22,00:00,UTC,-,-,-18.1,-,-12.7,-22.4
2023,2,23,00:00,UTC,-,-,-8.1,-,-2.2,-17
2023,2,24,00:00,UTC,-,-,-8.7,-,-4,-12.3
2023,2,25,00:00,UTC,-,-,-12.1,-,-7.9,-16.5
2023,2,26,00:00,UTC,-,-,-13.3,-,-9.5,-21
2023,2,27,00:00,UTC,-,-,-2.6,-,5.5,-11.8
2023,2,28,00:00,UTC,-,-,-1.3,-,5.1,-2.8
2023,3,1,00:00,UTC,-,-,-1.2,-,0.7,-3.7
2023,3,2,00:00,UTC,-,-,0.1,-,2.6,-2
2023,3,3,00:00,UTC,-,-,-1.7,-,1.1,-3.5
2023,3,4,00:00,UTC,-,-,-3.9,-,-2.5,-5.7
2023,3,5,00:00,UTC,-,-,-4.9,-,-2.6,-6.2
2023,3,6,00:00,UTC,-,-,-13.5,-,-6.2,-17.8
2023,3,7,00:00,UTC,-,-,-19,-,-10.2,-24.3
2023,3,8,00:00,UTC,-,-,-18.4,-,-9.9,-24.2
2023,3,9,00:00,UTC,-,-,-14.3,-,-7.7,-26.4
2023,3,10,00:00,UTC,-,-,-4.8,-,-1.9,-8.1
2023,3,11,00:00,UTC,-,-,-5.3,-,-2.3,-7.7
2023,3,12,00:00,UTC,-,-,-9.1,-,-5.1,-12.7
2023,3,13,00:00,UTC,-,-,-7.8,-,-1.2,-17.9
2023,3,14,00:00,UTC,-,-,-3.6,-,-0.2,-4.7
2023,3,15,00:00,UTC,-,-,-5.5,-,-3,-7
2023,3,16,00:00,UTC,-,-,-6.9,-,-4.4,-9.9
2023,3,17,00:00,UTC,-,-,-8.3,-,-1.4,-16.9
2023,3,18,00:00,UTC,-,-,0.1,-,1.9,-4.1
2023,3,19,00:00,UTC,-,-,-3.8,-,1.9,-7.4
2023,3,20,00:00,UTC,-,-,-2.1,-,0.6,-5.5
2023,3,21,00:00,UTC,-,-,-4,-,0.1,-11.5
2023,3,22,00:00,UTC,-,-,-5.7,-,0.2,-14.3
2023,3,23,00:00,UTC,-,-,-4.9,-,-2.2,-6.2
2023,3,24,00:00,UTC,-,-,-7.3,-,-3.9,-12.7
2023,3,25,00:00,UTC,-,-,-10.3,-,-4.8,-12.2